,hora,comuna,tipo_calle,calle,longitud,latutid,victima,FECHA ,SEXO,EDAD_VICTIMA
11614,01:00:00 p.m.,2,AVENIDA,ALVEAR AV.,-58.389203129482,-34.587646270159,CICLISTA,2020-01-02,Varon,67
11615,04:15:00 p.m.,3,CALLE,CASTELLI,-58.404492539573,-34.608216527535,CICLISTA,2020-01-02,Varon,33
11617,03:20:00 a.m.,15,CALLE,GURRUCHAGA,-58.445753737126,-34.600574687554,CICLISTA,2020-01-03,Varon,22
11618,12:00:00 p.m.,4,CALLE,IGUAZU,-58.40628083649,-34.641288112398,CICLISTA,2020-01-03,Mujer,28
11619,01:00:00 p.m.,4,AVENIDA,"BROWN, ALTE. AV.",-58.362213383248,-34.630804417342,CICLISTA,2020-01-03,Varon,39
11620,01:30:00 p.m.,14,AVENIDA,LAS HERAS GENERAL AV.,-58.408666752182,-34.582514184732,MOTO,2020-01-03,Varon,29
11621,09:30:00 p.m.,15,CALLE,GANDARA,-58.479250131233,-34.582504811925,CICLISTA,2020-01-03,Varon,36
11622,09:55:00 a.m.,14,AVENIDA,"DIAZ, CNEL. AV.",-58.408319471806,-34.586545585325,CICLISTA,2020-01-04,Mujer,44
11623,03:40:00 p.m.,9,CALLE,PATRON,-58.514197623621,-34.646697085725,PEATON,2020-01-04,Mujer,78
11624,09:30:00 p.m.,2,AVENIDA,CHARCAS,-58.402825196249,-34.595824269206,CICLISTA,2020-01-05,Varon,41
11625,10:10:00 a.m.,1,CALLE,"CEVALLOS, VIRREY",-58.388392381074,-34.624937924803,CICLISTA,2020-01-06,Varon,22
11628,05:30:00 p.m.,2,CALLE,JUNCAL,-58.402425751072,-34.590979554343,CICLISTA,2020-01-07,Mujer,36
11629,09:15:00 p.m.,10,CALLE,BERMUDEZ,-58.510337198913,-34.618835304698,CICLISTA,2020-01-08,Mujer,26
11631,03:00:00 p.m.,9,CALLE,CAÃ‘ADA DE GOMEZ,-58.521960742033,-34.647437946729,CICLISTA,2020-01-08,Mujer,72
11632,05:00:00 p.m.,15,CALLE,MALABIA,-58.443361470828,-34.601665326781,CICLISTA,2020-01-08,Varon,29
11634,02:55:00 p.m.,14,CALLE,MEDRANO,-58.420250241486,-34.59687854298,CICLISTA,2020-01-09,Varon,55
11635,04:57:00 p.m.,15,AVENIDA,GUZMAN AV.,-58.460331410971,-34.585698833823,CICLISTA,2020-01-09,Varon,44
11637,10:00:00 a.m.,14,AVENIDA,HONDURAS AV.,-58.421060074882,-34.594163324938,CICLISTA,2020-01-10,Varon,27
11638,12:40:00 p.m.,11,AVENIDA,NAZCA AV.,-58.481103390744,-34.612139224711,CICLISTA,2020-01-10,Varon,42
11639,10:00:00 a.m.,1,CALLE,"CALVO, CARLOS",-58.37869851284,-34.619731174875,CICLISTA,2020-01-10,Varon,55
11640,07:20:00 p.m.,15,AVENIDA,DE LOS INCAS AV.,-58.472072162249,-34.579800620133,CICLISTA,2020-01-10,Mujer,30
11641,06:20:00 p.m.,15,CALLE,LOYOLA,-58.437043038378,-34.594331404878,CICLISTA,2020-01-10,Mujer,28
11642,06:00:00 p.m.,14,CALLE,"ACUÃ‘A DE FIGUEROA, FRANCISCO",-58.421891077932,-34.597190625659,CICLISTA,2020-01-10,Varon,25
11643,08:00:00 a.m.,8,AVENIDA,LACARRA AV.,-58.449958608829,-34.664927069505,CICLISTA,2020-01-11,Varon,32
11644,09:35:00 p.m.,9,AVENIDA,"CASTRO, EMILIO AV.",-58.510610625883,-34.649724726312,CICLISTA,2020-01-11,Varon,39
11645,08:25:00 p.m.,3,AVENIDA,BELGRANO AV.,-58.404073266087,-34.614596069049,CICLISTA,2020-01-12,Varon,53
11646,12:00:00 a.m.,5,CALLE,MUÃ‘IZ,-58.424928023058,-34.628639816388,CICLISTA,2020-01-12,Varon,29
11647,06:00:00 p.m.,11,CALLE,NAVARRO,-58.509731889638,-34.603610414825,CICLISTA,2020-01-13,Varon,60
11648,10:30:00 p.m.,7,AVENIDA,CARABOBO AV.,-58.454668316833,-34.631388594731,CICLISTA,2020-01-13,Varon,43
11649,11:00:00 p.m.,14,CALLE,HUMBOLDT,-58.435390882598,-34.584872283738,CICLISTA,2020-01-13,Varon,25
11650,04:40:00 p.m.,12,CALLE,"ACHA, MARIANO, GRAL.",-58.49371923265,-34.551448032631,CICLISTA,2020-01-13,Varon,62
11651,06:00:00 p.m.,4,AVENIDA,"ALCORTA, AMANCIO AV.",-58.397586970376,-34.643431225039,CICLISTA,2020-01-13,Varon,28
11654,07:30:00 p.m.,12,AVENIDA,"LARRALDE, CRISOLOGO AV.",-58.506261843471,-34.568241676584,CICLISTA,2020-01-15,Varon,36
11657,08:01:00 p.m.,2,CALLE,"URIBURU JOSE E., PRES.",-58.394457189438,-34.588586906193,CICLISTA,2020-01-16,Varon,47
11658,09:01:00 p.m.,3,AVENIDA,BELGRANO AV.,-58.406125697379,-34.614975947044,CICLISTA,2020-01-16,Varon,sd
11659,04:30:00 p.m.,4,CALLE,LA RIOJA,-58.405608797816,-34.637122055018,CICLISTA,2020-01-17,Varon,46
11660,07:40:00 p.m.,13,AVENIDA,DEL LIBERTADOR AV.,-58.446871975618,-34.55763691552,CICLISTA,2020-01-17,Mujer,32
11661,10:30:00 p.m.,15,CALLE,ARAOZ,-58.43162434387,-34.596438744474,CICLISTA,2020-01-17,Varon,22
11663,06:40:00 p.m.,13,AVENIDA,"LARRALDE, CRISOLOGO AV.",-58.470157786089,-34.550055046949,CICLISTA,2020-01-20,Varon,39
11665,07:37:00 p.m.,14,CALLE,"NEWBERY, JORGE",-58.435576772485,-34.568174748982,CICLISTA,2020-01-20,Varon,25
11666,08:05:00 a.m.,3,AVENIDA,SAN JUAN AV.,-58.401688760795,-34.623901288851,CICLISTA,2020-01-21,Varon,38
11667,08:00:00 p.m.,12,CALLE,NUÃ‘EZ,-58.476990665875,-34.555440794844,CICLISTA,2020-01-21,Varon,26
11668,02:30:00 p.m.,3,AVENIDA,ENTRE RIOS AV.,-58.391878429433,-34.610339553516,CICLISTA,2020-01-21,Mujer,28
11669,02:20:00 p.m.,1,CALLE,PARANA,-58.387905106722,-34.604102286485,CICLISTA,2020-01-22,Varon,21
11670,10:00:00 p.m.,1,AVENIDA,"ACHAVAL RODRIGUEZ, T., DR. AV.",-58.358815066481,-34.611136413572,CICLISTA,2020-01-24,Mujer,44
11672,07:30:00 p.m.,14,AVENIDA,DEL LIBERTADOR AV.,-58.41316147916,-34.575796696868,CICLISTA,2020-01-24,Mujer,26
11674,07:40:00 p.m.,5,AVENIDA,INDEPENDENCIA AV.,-58.419427844853,-34.621192428121,CICLISTA,2020-01-27,Varon,22
11675,12:55:00 p.m.,14,CALLE,BONPLAND,-58.435143471395,-34.581691343344,CICLISTA,2020-01-27,Varon,47
